TITULO-ARTIGO;ANO-ARTIGO;GRANDE-AREA-1;AREA-1;SUB-AREA-1;GRANDE-AREA-2;AREA-2;SUB-AREA-2;GRANDE-AREA-3;AREA-3;SUB-AREA-3
Características físicas e sensoriais de raízes de batata-doce;2010;;;;;;;;;
Produção de matéria seca e acúmulo de nutrientes por jatobá, forrageiras e adubos verdes;2010;CIENCIAS_AGRARIAS;Agronomia;Holericultura;;;;;;
Resistência de linhagens de tomateiro à Traça (Tuta absoluta), relacionada a aleloquímicos e à densidade de tricomas;2011;;;;;;;;;
Perda de Massa Fresca e Senescência de Genótipos de Alface Cultivados em Ambiente Protegido;2011;;;;;;;;;
Identificação de Genótipos de Alface para Cultivo Protegido na Região do Alto Jequitinhonha;2011;;;;;;;;;
Resistência de linhagens de tomateiro à Traça Tuta absoluta e à Mosca Branca Bemisia argentifolii relacionada a aleloquímicos e à densidade de tricomas.;2012;;;;;;;;;
Doses de manipueira no crescimento da alface;2013;CIENCIAS_AGRARIAS;Agronomia;Ciência do Solo;CIENCIAS_AGRARIAS;Agronomia;Fitotecnia;;;
Seleção de Cultivares de Alface às Condições Climáticas de Almenara - MG;2014;;;;;;;;;
Desempenho de Cultivares de Alface Sob Cultivo Convencional no Baixo Jequitinhonha, MG;2014;;;;;;;;;
AVALIAÇÃO DA DETECÇÃO DE RSNV (RICE STRIPE NECROSIS VÍRUS) EM PLANTAS DE ARROZ ATRAVÉS DE RT-PCR;2006;;;;;;;;;
SINTOMATOLOGIA DIFERENCIAL DE PLÂNTULAS DE TOMATE QUANDO INOCULADAS COM DISTINTAS ESPÉCIES DE PYTHIUM SPP.;2006;;;;;;;;;
ISOLAMENTO E DETECÇÃO DO VÍRUS CAUSADOR DO ENROLAMENTO DO ARROZ;2005;;;;;;;;;
OTIMIZAÇÃO DA TRANSFORMAÇÃO GENÉTICA DE MAMONA (RICINUS COMMUNIS;2005;;;;;;;;;
RICE STRIPE NECROSIS VIRUS: DETECÇÃO POR RT-PCR E OCORRÊNCIA NO ESTADO DO RIO GRANDE DO SUL.;2006;;;;;;;;;
SUPEREXPRESSÃO DO GENE CODIFICANTE DO PEPTÍDEO AtPep1 EM A. THALIANA VISANDO A OBTENÇÃO DE RESISTÊNCIA À ISOLADOS DE DIFERENTES ESPÉCIES DO GÊNERO PYTHIUM;2008;;;;;;;;;
OVEREXPRESSION OF PROPEP1 IN Arabidopsis thaliana  AMPLIFIES THE RELATIVE EXPRESSION OF DEFENSE RELATED GENES.;2009;;;;;;;;;
PLANT DEFENSE GENE EXPRESSION IN THE INTERACTION OF Pythium spp. WITH Solanum lycopersicum SEEDLINGS;2009;;;;;;;;;
Ocorrência de Fusarium solani em Maracujazeiro na Região do Baixo Jequitinhonha;2013;CIENCIAS_AGRARIAS;Agronomia;;CIENCIAS_AGRARIAS;Agronomia;Fitossanidade;CIENCIAS_AGRARIAS;Agronomia;Fitossanidade
Relação folha/haste, na matéria natural, de dez híbridos de Sorghum bicolor com Sorghum sudanense, em diferentes épocas de plantio e corte.;2002;;;;;;;;;
PRODUÇÕES DE MATÉRIA NATURAL E MATÉRIA SECA DE SEIS HÍBRIDOS DE SORGO SUBMETIDOS A DUAS ÉPOCAS DE PLANTIO E TRÊS CORTES1;2003;;;;;;;;;
